Country,Governorate,District,year,adm2_code,XGB+DNN Predicted MPI,XGB+DNN Predicted Severe Poverty %
Bosnia and Herzegovina,Republika Srpska,Kladanj,2023,6280,0.230660528,19.79149589
Bosnia and Herzegovina,Republika Srpska,Kladanj,2024,6280,0.250435412,22.35640689
Bosnia and Herzegovina,Republika Srpska,Kljuc,2020,6281,0.280908257,26.50065266
Bosnia and Herzegovina,Republika Srpska,Kljuc,2021,6281,0.271639705,25.21699252
Bosnia and Herzegovina,Republika Srpska,Kljuc,2022,6281,0.255384028,23.01415564
Bosnia and Herzegovina,Republika Srpska,Kljuc,2023,6281,0.237517327,20.66907305
Bosnia and Herzegovina,Republika Srpska,Kljuc,2024,6281,0.283540428,26.86870179
Bosnia and Herzegovina,Republika Srpska,Kotor Varos,2020,6283,0.214520067,17.77754192
Bosnia and Herzegovina,Republika Srpska,Kotor Varos,2021,6283,0.188471273,14.69038629
Bosnia and Herzegovina,Republika Srpska,Kotor Varos,2022,6283,0.16139400005340576,11.7128824
Bosnia and Herzegovina,Republika Srpska,Kotor Varos,2023,6283,0.176227659,13.3135488
Bosnia and Herzegovina,Republika Srpska,Kotor Varos,2024,6283,0.181511685,13.90171611
